Wall time,Step,Value
1608338987.003715,0,0.8701075315475464
1608339061.881089,1,0.9509677290916443
1608339137.227265,2,0.9578494429588318
1608339212.690441,3,0.968172013759613
1608339288.217725,4,0.9746236801147461
1608339363.828619,5,0.9707527160644531
1608339439.459416,6,0.9746236801147461
1608339515.111215,7,0.9754838943481445
1608339590.809906,8,0.9754838943481445
1608339666.516413,9,0.976344108581543
1608339742.171981,10,0.9789247512817383
1608339817.881033,11,0.9832258224487305
