Wall time,Step,Value
1608343005.417018,0,0.8864516019821167
1608343059.548974,1,0.9664515852928162
1608343113.884503,2,0.982365608215332
1608343168.248315,3,0.9858064651489258
1608343222.782614,4,0.9840860366821289
1608343278.000945,5,0.9922580718994141
1608343331.94484,6,0.9944086074829102
1608343385.964297,7,0.9922580718994141
1608343439.8889737,8,0.9896774291992188
1608343493.941397,9,0.9918279647827148
1608343547.95403,10,0.9922580718994141
1608343601.927032,11,0.9879570007324219
