Wall time,Step,Value
1608338002.767692,0,0.8064516186714172
1608338045.098052,1,0.9341935515403748
1608338087.007443,2,0.9548386931419373
1608338130.236689,3,0.9617204070091248
1608338172.6938093,4,0.9746236801147461
1608338215.070861,5,0.9694623947143555
1608338257.5569391,6,0.9832258224487305
1608338300.168671,7,0.968172013759613
1608338342.968075,8,0.9836559295654297
1608338385.373818,9,0.9858064651489258
1608338427.523147,10,0.9840860366821289
1608338469.596276,11,0.9892473220825195
