Wall time,Step,Value
1608338002.767534,0,2.2683603763580322
1608338045.097912,1,0.18570132553577423
1608338087.007303,2,0.11475960165262222
1608338130.23655,3,0.11139325797557831
1608338172.693664,4,0.07025082409381866
1608338215.070719,5,0.08372067660093307
1608338257.556801,6,0.047859515994787216
1608338300.168499,7,0.08153804391622543
1608338342.967931,8,0.04546568542718887
1608338385.373678,9,0.047918450087308884
1608338427.523008,10,0.03970818594098091
1608338469.596121,11,0.038797881454229355
