Wall time,Step,Value
1608343005.416857,0,12.4722900390625
1608343059.548827,1,0.9688166975975037
1608343113.884357,2,0.26491492986679077
1608343168.248178,3,0.20947860181331635
1608343222.782474,4,0.20539486408233643
1608343278.000801,5,0.09364838153123856
1608343331.944701,6,0.031043175607919693
1608343385.964147,7,0.06198848783969879
1608343439.888837,8,0.1296118199825287
1608343493.941261,9,0.08873436599969864
1608343547.953892,10,0.10038594901561737
1608343601.926898,11,0.2050088346004486
